Opportunity_ID,Closed_Won_Date,Owner_User_ID,Contract_Length_Months,Total_Contract_Value,First_Payment_Date,Commissionable ARR,Name,attainment_quarter,Accumulative ARR,Rate,Attainment,payment_quarter,commission_earned
10028,2022-03-23,C,12,7200,2022-04-30,7200.0,Joe,Q1,54586.66666666667,0.09,200000,Q2,648.0
10233,2022-03-24,C,12,6600,2022-03-26,6600.0,Joe,Q1,61186.66666666667,0.09,200000,Q1,594.0
10023,2022-03-27,C,12,88000,2022-04-16,88000.0,Joe,Q1,149186.6666666667,0.09,200000,Q2,7920.0
10033,2022-03-27,C,12,24000,2022-05-10,24000.0,Joe,Q1,173186.6666666667,0.09,200000,Q2,2160.0
10213,2022-03-28,C,12,14000,2022-05-11,14000.0,Joe,Q1,187186.6666666667,0.09,200000,Q2,1260.0
10183,2022-03-29,C,20,7200,2022-05-04,4320.0,Joe,Q1,191506.6666666667,0.09,200000,Q2,388.8
10208,2022-03-29,C,12,5000,2022-05-09,5000.0,Joe,Q1,196506.6666666667,0.09,200000,Q2,450.0
10188,2022-03-31,C,12,25000,2022-04-23,25000.0,Joe,Q1,221506.6666666667,0.09,200000,Q2,3217.8000000000006
10198,2022-03-31,C,12,17600,2022-06-01,17600.0,Joe,Q1,239106.6666666667,0.09,200000,Q2,2376.0
10193,2022-04-18,C,12,4800,2022-06-01,4800.0,Joe,Q2,4800.0,0.07,250000,Q2,336.00000000000006
10013,2022-04-23,C,12,1575,2022-05-31,1575.0,Joe,Q2,6375.0,0.07,250000,Q2,110.25000000000001
10008,2022-04-25,C,12,32686,2022-04-30,32686.0,Joe,Q2,39061.0,0.07,250000,Q2,2288.0200000000004
10003,2022-04-30,C,12,46667,2022-06-20,46667.0,Joe,Q2,85728.0,0.07,250000,Q2,3266.6900000000005
10303,2022-04-30,C,12,12000,2022-05-03,12000.0,Joe,Q2,97728.0,0.07,250000,Q2,840.0000000000001
10293,2022-05-06,C,30,15000,2022-05-24,6000.0,Joe,Q2,103728.0,0.07,250000,Q2,420.00000000000006
10298,2022-05-09,C,12,10812,2022-05-25,10812.0,Joe,Q2,114540.0,0.07,250000,Q2,756.84
10308,2022-06-30,C,12,75000,,75000.0,Joe,Q2,189540.0,0.07,250000,,5250.000000000001
10313,2022-06-30,C,12,24000,,24000.0,Joe,Q2,213540.0,0.07,250000,,1680.0000000000002
10318,2022-06-30,C,12,64000,,64000.0,Joe,Q2,277540.0,0.07,250000,,5443.900000000001
